epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4927.58,2.75976,1.43843,0.85801,0.52194,0.09907,0.08989,0.04386,2.88499,1.91081,0.78985,0.0008647,0.0008647,0.0008647
43,5027.46,2.68822,1.44472,0.86545,0.5203,0.10723,0.09574,0.04559,2.91036,1.56726,0.78792,0.0008614,0.0008614,0.0008614
44,5162.38,2.65914,1.38231,0.86808,0.32985,0.09683,0.0839,0.04196,2.90232,1.66192,0.79239,0.0008581,0.0008581,0.0008581
45,5262.07,2.69989,1.39597,0.87333,0.40255,0.102,0.09139,0.04374,2.9077,1.6294,0.78726,0.0008548,0.0008548,0.0008548
46,5394.14,2.62699,1.356,0.87436,0.37619,0.10327,0.0895,0.04377,2.90364,1.59244,0.78867,0.0008515,0.0008515,0.0008515
47,5498.78,2.67656,1.36648,0.87291,0.36456,0.12875,0.09495,0.04475,2.83573,1.53666,0.78704,0.0008482,0.0008482,0.0008482
48,5628.83,2.77311,1.43388,0.85809,0.3091,0.0811,0.08066,0.03855,2.90835,1.57168,0.78451,0.0008449,0.0008449,0.0008449
49,5733.76,2.70144,1.34943,0.87576,0.41516,0.09269,0.0793,0.04061,2.822,1.59471,0.79226,0.0008416,0.0008416,0.0008416
50,5862.12,2.68756,1.41275,0.86096,0.32868,0.08555,0.07444,0.03803,2.89304,1.53321,0.78932,0.0008383,0.0008383,0.0008383
51,5968.07,2.67199,1.39292,0.86986,0.36802,0.09497,0.09242,0.04481,2.8942,1.76012,0.79029,0.000835,0.000835,0.000835
52,6092.71,2.60769,1.34776,0.86322,0.54935,0.11697,0.09394,0.04591,2.86361,1.81018,0.79329,0.0008317,0.0008317,0.0008317
53,6203.4,2.68413,1.41371,0.85593,0.39302,0.08699,0.07851,0.03815,2.89415,1.63754,0.80556,0.0008284,0.0008284,0.0008284
54,6326.97,2.61117,1.37364,0.86598,0.34319,0.08759,0.08432,0.04077,2.83202,1.644,0.778,0.0008251,0.0008251,0.0008251
55,6436.93,2.62866,1.35919,0.86553,0.35316,0.10907,0.09536,0.04395,2.89253,1.63415,0.8003,0.0008218,0.0008218,0.0008218
56,6558.31,2.59357,1.33651,0.86611,0.43215,0.12046,0.10051,0.04463,2.92196,1.69855,0.78056,0.0008185,0.0008185,0.0008185
57,6672.31,2.65137,1.36186,0.86535,0.44346,0.0983,0.08884,0.04083,2.83406,1.72667,0.77576,0.0008152,0.0008152,0.0008152
58,6793.63,2.6125,1.32709,0.86489,0.38854,0.11431,0.09666,0.04657,2.83608,1.76419,0.8009,0.0008119,0.0008119,0.0008119
59,6912.71,2.62518,1.34302,0.86209,0.3734,0.11419,0.09156,0.04205,2.84672,1.57073,0.79194,0.0008086,0.0008086,0.0008086
60,7033.56,2.66069,1.34477,0.85766,0.39993,0.12265,0.09273,0.04333,2.87747,1.61397,0.79525,0.0008053,0.0008053,0.0008053
61,7149.79,2.61518,1.35293,0.85699,0.30324,0.10577,0.08849,0.04189,2.83897,1.53924,0.78829,0.000802,0.000802,0.000802
62,7270.73,2.63081,1.38418,0.85971,0.42016,0.0663,0.07798,0.03784,2.78775,1.63099,0.79237,0.0007987,0.0007987,0.0007987
63,7389,2.67589,1.36244,0.85942,0.45301,0.11649,0.09518,0.04145,2.81998,1.53366,0.78812,0.0007954,0.0007954,0.0007954
64,7507.69,2.6825,1.39801,0.85534,0.41533,0.10265,0.09816,0.04602,2.84259,1.6234,0.78763,0.0007921,0.0007921,0.0007921
65,7623.85,2.6193,1.35977,0.86014,0.40511,0.11108,0.08256,0.03934,2.7926,1.6831,0.78009,0.0007888,0.0007888,0.0007888
66,7737.39,2.57601,1.35191,0.86693,0.38016,0.1027,0.08647,0.04325,2.79443,1.64918,0.78542,0.0007855,0.0007855,0.0007855
67,7856.6,2.59042,1.33671,0.8585,0.38338,0.11527,0.09759,0.04688,2.75786,1.67582,0.78173,0.0007822,0.0007822,0.0007822
68,7966.51,2.63386,1.34966,0.84965,0.39215,0.1127,0.10057,0.04444,2.86276,1.62717,0.78795,0.0007789,0.0007789,0.0007789
69,8093.43,2.63544,1.34635,0.86016,0.39763,0.12388,0.11683,0.05505,2.81063,1.63254,0.78076,0.0007756,0.0007756,0.0007756
70,8201.12,2.58229,1.32526,0.84341,0.45344,0.10926,0.09852,0.0465,2.75944,1.54023,0.77886,0.0007723,0.0007723,0.0007723
71,8327.51,2.58278,1.33261,0.85287,0.3484,0.11368,0.09964,0.0472,2.75877,1.69347,0.78201,0.000769,0.000769,0.000769
72,8434.95,2.57399,1.30423,0.84849,0.38004,0.11505,0.10089,0.04785,2.84545,1.59989,0.78647,0.0007657,0.0007657,0.0007657
73,8558.59,2.60849,1.33319,0.85024,0.33661,0.0862,0.0835,0.0419,2.76415,1.67107,0.77456,0.0007624,0.0007624,0.0007624
74,8663.2,2.59313,1.31476,0.84677,0.42037,0.08895,0.0855,0.04377,2.77842,1.69691,0.77199,0.0007591,0.0007591,0.0007591
75,8793.07,2.55882,1.32051,0.85288,0.40591,0.13287,0.10969,0.0487,2.91871,1.66515,0.78554,0.0007558,0.0007558,0.0007558
76,8892.12,2.51983,1.28236,0.86417,0.46174,0.10772,0.09256,0.04393,2.77629,1.60542,0.77468,0.0007525,0.0007525,0.0007525
77,9030.15,2.53574,1.3135,0.85579,0.31024,0.08359,0.08378,0.04266,2.80036,1.69413,0.78646,0.0007492,0.0007492,0.0007492
78,9128.71,2.56909,1.33892,0.85168,0.34858,0.09196,0.08348,0.04223,2.80311,1.5366,0.78302,0.0007459,0.0007459,0.0007459
79,9260.65,2.54836,1.29285,0.84504,0.39876,0.12416,0.10571,0.05018,2.80304,1.55357,0.78567,0.0007426,0.0007426,0.0007426
80,9360.8,2.57555,1.31105,0.85127,0.37701,0.0999,0.10327,0.04719,2.87436,1.66897,0.77834,0.0007393,0.0007393,0.0007393
81,9498.14,2.52163,1.29019,0.85667,0.37388,0.10562,0.10117,0.05099,2.77751,1.55649,0.78039,0.000736,0.000736,0.000736
82,9598.72,2.53477,1.29377,0.84928,0.37695,0.10625,0.10943,0.05269,2.78278,1.67568,0.77718,0.0007327,0.0007327,0.0007327
83,9731.91,2.58847,1.29531,0.84476,0.3823,0.09936,0.09793,0.04936,2.80201,1.59024,0.78916,0.0007294,0.0007294,0.0007294
84,9830.78,2.57423,1.30341,0.84736,0.37868,0.10986,0.09247,0.04246,2.82947,1.49869,0.79104,0.0007261,0.0007261,0.0007261
85,9963.7,2.5704,1.28989,0.85279,0.46368,0.08077,0.08401,0.04101,2.74492,1.53907,0.78228,0.0007228,0.0007228,0.0007228
86,10066.6,2.5086,1.27957,0.84718,0.35695,0.08088,0.0918,0.0471,2.80228,1.54573,0.78412,0.0007195,0.0007195,0.0007195
87,10200.4,2.535,1.26797,0.846,0.35399,0.10499,0.09638,0.04671,2.85566,1.65117,0.7914,0.0007162,0.0007162,0.0007162
88,10301.9,2.53257,1.29783,0.84505,0.39769,0.09195,0.0974,0.04527,2.77487,1.52939,0.78979,0.0007129,0.0007129,0.0007129
89,10434.3,2.55398,1.31985,0.84208,0.45403,0.10108,0.09676,0.04512,2.75523,1.63182,0.78528,0.0007096,0.0007096,0.0007096
90,10540.3,2.51709,1.29139,0.8593,0.51249,0.08488,0.09672,0.04681,2.783,1.87311,0.77954,0.0007063,0.0007063,0.0007063
91,10665.2,2.51151,1.29495,0.85036,0.36511,0.11836,0.09574,0.04506,2.84173,1.61555,0.77131,0.000703,0.000703,0.000703
92,10772.3,2.58296,1.31513,0.84473,0.34019,0.10137,0.09013,0.04449,2.77902,1.58248,0.77474,0.0006997,0.0006997,0.0006997
93,10899.6,2.52888,1.27454,0.8532,0.51741,0.08761,0.09601,0.04952,2.71312,1.50844,0.76901,0.0006964,0.0006964,0.0006964
94,11008,2.50697,1.29505,0.85339,0.4883,0.11351,0.10478,0.05074,2.81215,1.52944,0.7866,0.0006931,0.0006931,0.0006931
